Difference Type,Tag Path,Attribute,Order Pair
Attribute missing,Order,ID,WCS001-ORD002
Text mismatch,PaymentMode,(text),WCS001-ORD002
Text mismatch,OrderStatus,(text),WCS001-ORD002
Text mismatch,Currency,(text),WCS001-ORD002
Text mismatch,StoreID,(text),WCS001-ORD002
Text mismatch,TotalAmount,(text),WCS001-ORD002
Text mismatch,TaxAmount,(text),WCS001-ORD002
Text mismatch,DiscountAmount,(text),WCS001-ORD002
Text mismatch,ShippingCharge,(text),WCS001-ORD002
Text mismatch,GrandTotal,(text),WCS001-ORD002
Text mismatch,CustomerID,(text),WCS001-ORD002
Text mismatch,FirstName,(text),WCS001-ORD002
Text mismatch,LastName,(text),WCS001-ORD002
Text mismatch,Email,(text),WCS001-ORD002
Text mismatch,Phone,(text),WCS001-ORD002
Text mismatch,AddressLine1,(text),WCS001-ORD002
Tag missing,City,-,WCS001-ORD002
Tag missing,State,-,WCS001-ORD002
Text mismatch,PostalCode,(text),WCS001-ORD002
Text mismatch,Country,(text),WCS001-ORD002
Text mismatch,ShippingMethod,(text),WCS001-ORD002
Text mismatch,CardType,(text),WCS001-ORD002
Text mismatch,CardLastFour,(text),WCS001-ORD002
Text mismatch,BillingCountry,(text),WCS001-ORD002
Tag missing,Item,-,WCS001-ORD002
Tag missing,Item,-,WCS001-ORD002
Tag missing,ItemID,-,WCS001-ORD002
Tag missing,ItemID,-,WCS001-ORD002
Text mismatch,SKU,(text),WCS001-ORD002
Text mismatch,SKU,(text),WCS001-ORD002
Text mismatch,SKU,(text),WCS001-ORD002
Tag missing,SKU,-,WCS001-ORD002
Tag missing,SKU,-,WCS001-ORD002
Text mismatch,ArticleType,(text),WCS001-ORD002
Text mismatch,ArticleType,(text),WCS001-ORD002
Tag missing,ArticleType,-,WCS001-ORD002
Tag missing,ArticleType,-,WCS001-ORD002
Text mismatch,ProductName,(text),WCS001-ORD002
Text mismatch,ProductName,(text),WCS001-ORD002
Text mismatch,ProductName,(text),WCS001-ORD002
Tag missing,ProductName,-,WCS001-ORD002
Tag missing,ProductName,-,WCS001-ORD002
Text mismatch,Brand,(text),WCS001-ORD002
Tag missing,Brand,-,WCS001-ORD002
Tag missing,Brand,-,WCS001-ORD002
Text mismatch,Quantity,(text),WCS001-ORD002
Tag missing,Quantity,-,WCS001-ORD002
Tag missing,Quantity,-,WCS001-ORD002
Tag missing,Quantity,-,WCS001-ORD002
Text mismatch,UnitPrice,(text),WCS001-ORD002
Text mismatch,UnitPrice,(text),WCS001-ORD002
Text mismatch,UnitPrice,(text),WCS001-ORD002
Tag missing,UnitPrice,-,WCS001-ORD002
Tag missing,UnitPrice,-,WCS001-ORD002
Text mismatch,TotalPrice,(text),WCS001-ORD002
Text mismatch,TotalPrice,(text),WCS001-ORD002
Text mismatch,TotalPrice,(text),WCS001-ORD002
Tag missing,TotalPrice,-,WCS001-ORD002
Tag missing,TotalPrice,-,WCS001-ORD002
Text mismatch,Color,(text),WCS001-ORD002
Text mismatch,Color,(text),WCS001-ORD002
Tag missing,Color,-,WCS001-ORD002
Tag missing,Color,-,WCS001-ORD002
Text mismatch,WarrantyMonths,(text),WCS001-ORD002
Text mismatch,Author,(text),WCS001-ORD002
Text mismatch,Binding,(text),WCS001-ORD002
Text mismatch,Language,(text),WCS001-ORD002
Text mismatch,Size,(text),WCS001-ORD002
Tag missing,Size,-,WCS001-ORD002
Text mismatch,Material,(text),WCS001-ORD002
Text mismatch,Gender,(text),WCS001-ORD002
Tag missing,Gender,-,WCS001-ORD002
Tag missing,Power,-,WCS001-ORD002
Extra tag,OrderID,-,WCS001-ORD002
Tag missing,City,-,WCS002-ORD002
Tag missing,State,-,WCS002-ORD002
Attribute mismatch,UnitPrice,quantity,WCS002-ORD002
